ID,Counties,Schools,Gbask,GBpS,Bbask,BBpS,Foot,FpS,Voll,VpS,Wres,WpS,Total,TpS,FIPSCode
1,Adams,5,2,0.4,3,0.6,2,0.4,2,0.4,0,0,9,1.8,1
2,Antelope,4,0,0,0,0,2,0.5,0,0,0,0,2,0.5,3
3,Arthur,1,0,0,0,0,0,0,0,0,0,0,0,0,5
4,Banner,1,0,0,0,0,0,0,0,0,0,0,0,0,7
5,Blaine,1,0,0,0,0,0,0,0,0,0,0,0,0,9
6,Boone,3,0,0,0,0,1,0.33,0,0,0,0,1,0.33,11
7,Box Butte,2,0,0,0,0,1,0.5,0,0,0,0,1,0.5,13
8,Boyd,3,0,0,0,0,0,0,0,0,0,0,0,0,15
9,Brown,1,0,0,0,0,0,0,0,0,0,0,0,0,17
10,Buffalo,10,1,0.1,2,0.2,0,0,4,0.4,7,0.7,14,1.4,19
11,Burt,3,0,0,0,0,0,0,0,0,0,0,0,0,21
12,Butler,4,0,0,0,0,5,1.25,1,0.25,2,0.5,8,2,23
13,Cass,5,0,0,0,0,0,0,0,0,0,0,0,0,25
14,Cedar,6,11,1.83,2,0.33,0,0,1,0.17,0,0,14,2.33,27
15,Chase,2,0,0,0,0,0,0,0,0,0,0,0,0,29
16,Cherry,2,0,0,0,0,0,0,0,0,3,1.5,3,1.5,31
17,Cheyenne,3,0,0,0,0,0,0,0,0,0,0,0,0,33
18,Clay,4,2,0.5,0,0,0,0,0,0,0,0,2,0.5,35
19,Colfax,4,2,0.5,1,0.25,2,0.5,1,0.25,1,0.25,7,1.75,37
20,Cuming,4,2,0.5,2,0.5,1,0.25,0,0,0,0,5,1.25,39
21,Custer,6,0,0,0,0,1,0.17,0,0,0,0,1,0.17,41
22,Dakota,2,1,0.5,3,1.5,0,0,0,0,0,0,4,2,43
